#	Company	Headquarters Address	Address_Verification	Corrected Address	Address Source URL	Address Verification Notes	Address Last Checked (UTC)	Emails	Email Deliverability	MailboxValidator Score	Email Verified by SMTP	Role-based Email	MailboxValidator raw status	Alternate Contact (URL)	Alternate Contact Notes
1	HubSpot	2 Canal Park, Cambridge, MA 02141	OK	2 Canal Park, Cambridge, MA 02141, United States	https://www.hubspot.com/company/contact	Matches official 'Global Headquarters' on HubSpot Contact page.	2025-10-30	contact@hubspot.com	Deliverable	0.6	True	True	True		
2	Salesforce	415 Mission St, San Francisco, CA 94105	OK	415 Mission Street, San Francisco, CA 94105, United States	https://www.salesforce.com/company/ohana-floors-san-francisco/	Matches address of Salesforce Tower (global HQ).	2025-10-30	sales@salesforce.com	Undeliverable	0.2	False	True	False	https://www.salesforce.com/form/contact/contactme/?d=cta-body-promo-139	Salesforce directs sales inquiries to a web form / phone; mailbox validation shows sales@salesforce.com as undeliverable.
3	Slack	500 Howard St, San Francisco, CA 94105	UPDATED	415 Mission St, 3rd Floor, San Francisco, CA 94105, United States	https://slack.com/help/articles/115005855543-Vendor-and-remittance-details-for-Slack	Company address listed as Salesforce Tower; supersedes 500 Howard St.	2025-10-30	feedback@slack.com	Deliverable	0.6	True	True	True		
4	Zoom	55 Almaden Boulevard, San Jose, CA 95110	UPDATED	55 Almaden Boulevard, 6th Floor, San Jose, CA 95113, United States	https://investors.zoom.us/static-files/f5b92b93-5af9-42cb-ab0d-931c309417a9	SEC filing (2025 Annual Report) lists principal executive offices.	2025-10-30	sales@zoom.us	Undeliverable	0.2	False	True	False	https://www.zoom.com/en/contact/	Zoom lists San Jose as HQ and routes sales via web form / phone; mailbox validation shows sales@zoom.us as undeliverable.
5	Atlassian	341 George St, Sydney NSW 2000, AU	OK	Level 6, 341 George Street, Sydney NSW 2000, Australia	https://www.atlassian.com/company/contact	Official site lists this as Global HQ.	2025-10-30	hello@atlassian.com	Deliverable	0.99	True	False	True		
6	Notion	303 2nd St, San Francisco, CA 94107	UPDATED	2300 Harrison Street, Floor 2, San Francisco, CA 94110, United States	https://www.bbb.org/us/ca/san-francisco/profile/lab/notion-labs-inc-1116-951494	Best available public business listings; Notion doesn’t publish a mailing address on its site.	2025-10-30	sales@notion.so	Undeliverable	0.01	False	True	False	https://www.notion.com/contact-sales	Notion directs inquiries to a web form; support email is team@makenotion.com.
7	Figma	333 Bush St, San Francisco, CA 94104	UPDATED	760 Market Street, Floor 10, San Francisco, CA 94102, United States	https://www.otcmarkets.com/filing/html?guid=9nE-kpJOCvIUBhh&id=18734235	Form S-8 (Aug 28, 2025) lists principal executive offices.	2025-10-30	sales@figma.com	Deliverable	0.6	True	True	True	https://www.figma.com/contact/	Figma prefers a sales form; sales@figma.com validated.
8	Asana	1550 Bryant St, San Francisco, CA 94103	UPDATED	633 Folsom Street, Suite 100, San Francisco, CA 94107, United States	https://asana.com/company	Official site lists Asana HQ at 633 Folsom.	2025-10-30	sales@asana.com	Deliverable	0.6	True	True	True	https://asana.com/sales	Asana offers a sales contact form; sales@asana.com validated.
9	Stripe	395 Page Mill Rd, Palo Alto, CA 94306	UPDATED	354 Oyster Point Boulevard, South San Francisco, CA 94080, United States	https://stripe.com/legal/hr-data-privacy-framework	Stripe operates dual HQs; HR/legal pages list the Oyster Point address.	2025-10-30	contact@stripe.com	Deliverable	0.6	True	True	True		
10	Shopify	2 Metcalfe St, Toronto, Ontario M5H 2N2	UPDATED	151 O'Connor Street, Ground floor, Ottawa, ON K2P 2L8, Canada	https://investors.shopify.com/resources/default.aspx	Investor FAQs list principal office at 151 O'Connor; Shopify is digital-first.	2025-10-30	support@shopify.com	Deliverable	0.6	True	True	True	https://www.shopify.com/ca/contact	Shopify offers multiple support channels; support@shopify.com validated.
11	Twilio	375 Beale St, San Francisco, CA 94105	UPDATED	101 Spear Street, Fifth Floor, San Francisco, CA 94105, United States	https://investors.twilio.com/static-files/8458b5e3-f381-4b6a-98c9-aeae3a0070ff	SEC filings list principal executive offices; some pages also list 101 Spear St for service.	2025-10-30	sales@twilio.com	Deliverable	0.6	True	True	True		
12	DocuSign	221 Main St, San Francisco, CA 94105	UPDATED	221 Main Street, Suite 1550, San Francisco, CA 94105, United States	https://investor.docusign.com/investors/investor-resources/contact-ir/default.aspx	Investor Relations page and SEC filings confirm Suite 1550.	2025-10-30	sales@docusign.com	Deliverable	0.6	True	True	True		
