
postal_code,flink,rewe,knuspr,picnic
10115,False,False,True,True
10116,False,False,True,True
10117,False,False,True,True
10118,False,False,True,True
10119,False,False,True,True
10120,False,False,True,True
10121,False,False,True,True
10122,False,False,True,True
10123,False,False,True,True
10124,False,False,True,True
10125,False,False,True,True
10126,False,False,True,True
10127,False,False,True,True
10128,False,False,True,True
10129,False,False,True,True
10130,False,False,True,True
10131,False,False,True,True
10132,False,False,True,True
10133,False,False,True,True
10134,False,False,True,True
10135,False,False,True,True
10136,False,False,True,True
10137,False,False,True,True
10138,False,False,True,True
10139,False,False,True,True
10140,False,False,True,True
10141,False,False,True,True
10142,False,False,True,True
10143,False,False,True,True
10144,False,False,True,True
10145,False,False,True,True
10146,False,False,True,True
10147,False,False,True,True
10148,False,False,True,True
10149,False,False,True,True
10150,False,False,True,True
10151,False,False,True,True
10152,False,False,True,True
10153,False,False,True,True
10154,False,False,True,True
10155,False,False,True,True
10156,False,False,True,True
10157,False,False,True,True
10158,False,False,True,True
10159,False,False,True,True
10160,False,False,True,True
10161,False,False,True,True
10162,False,False,True,True
10163,False,False,True,True
10164,False,False,True,True
10165,False,False,True,True
10166,False,False,True,True
10167,False,False,True,True
10168,False,False,True,True
10169,False,False,True,True
10170,False,False,True,True
10171,False,False,True,True
10172,False,False,True,True
10173,False,False,True,True
10174,False,False,True,True
10175,False,False,True,True
10176,False,False,True,True
10177,False,False,True,True
10178,False,False,True,True
10179,False,False,True,True
20257,True,False,False,False
20258,True,False,False,False
20259,True,False,False,False
20260,True,False,False,False
20261,True,False,False,False
20262,True,False,False,False
20263,True,False,False,False
20264,True,False,False,False
20265,True,False,False,False
20266,True,False,False,False
20267,True,False,False,False
20268,True,False,False,False
20269,True,False,False,False
20270,True,False,False,False
20271,True,False,False,False
20272,True,False,False,False
20273,True,False,False,False
20274,True,False,False,False
20275,True,False,False,False
20276,True,False,False,False
20277,True,False,False,False
20278,True,False,False,False
20279,True,False,False,False
20280,True,False,False,False
20281,True,False,False,False
20282,True,False,False,False
20283,True,False,False,False
20284,True,False,False,False
20285,True,False,False,False
20286,True,False,False,False
20287,True,False,False,False
20288,True,False,False,False
20289,True,False,False,False
20290,True,False,False,False
20291,True,False,False,False
20292,True,False,False,False
20293,True,False,False,False
20294,True,False,False,False
20295,True,False,False,False
20296,True,False,False,False
20297,True,False,False,False
20298,True,False,False,False
20299,True,False,False,False
20300,True,False,False,False
20301,True,False,False,False
20302,True,False,False,False
20303,True,False,False,False
20304,True,False,False,False
20305,True,False,False,False
20306,True,False,False,False
20307,True,False,False,False
20308,True,False,False,False
20309,True,False,False,False
20310,True,False,False,False
20311,True,False,False,False
20312,True,False,False,False
20313,True,False,False,False
20314,True,False,False,False
20315,True,False,False,False
20316,True,False,False,False
20317,True,False,False,False
20318,True,False,False,False
20319,True,False,False,False
20320,True,False,False,False
20321,True,False,False,False
20322,True,False,False,False
20323,True,False,False,False
20324,True,False,False,False
20325,True,False,False,False
20326,True,False,False,False
20327,True,False,False,False
20328,True,False,False,False
20329,True,False,False,False
20330,True,False,False,False
20331,True,False,False,False
20332,True,False,False,False
20333,True,False,False,False
20334,True,False,False,False
20335,True,False,False,False
20336,True,False,False,False
20337,True,False,False,False
20338,True,False,False,False
20339,True,False,False,False
20340,True,False,False,False
20341,True,False,False,False
20342,True,False,False,False
20343,True,False,False,False
20344,True,False,False,False
20345,True,False,False,False
20346,True,False,False,False
20347,True,False,False,False
20348,True,False,False,False
20349,True,False,False,False
20350,True,False,False,False
20351,True,False,False,False
20352,True,False,False,False
20353,True,False,False,False
20354,True,False,False,False
20355,True,False,False,False
20356,True,False,False,False
20357,True,False,False,False
20358,True,False,False,False
20359,True,False,False,False
20360,True,False,False,False
20361,True,False,False,False
20362,True,False,False,False
20363,True,False,False,False
20364,True,False,False,False
20365,True,False,False,False
20366,True,False,False,False
20367,True,False,False,False
20368,True,False,False,False
20369,True,False,False,False
20370,True,False,False,False
20371,True,False,False,False
20372,True,False,False,False
20373,True,False,False,False
20374,True,False,False,False
20375,True,False,False,False
20376,True,False,False,False
20377,True,False,False,False
20378,True,False,False,False
20379,True,False,False,False
20380,True,False,False,False
20381,True,False,False,False
20382,True,False,False,False
20383,True,False,False,False
20384,True,False,False,False
20385,True,False,False,False
20386,True,False,False,False
20387,True,False,False,False
20388,True,False,False,False
20389,True,False,False,False
20390,True,False,False,False
20391,True,False,False,False
20392,True,False,False,False
20393,True,False,False,False
20394,True,False,False,False
20395,True,False,False,False
20396,True,False,False,False
20397,True,False,False,False
20398,True,False,False,False
20399,True,False,False,False
20400,True,False,False,False
20401,True,False,False,False
20402,True,False,False,False
20403,True,False,False,False
20404,True,False,False,False
20405,True,False,False,False
20406,True,False,False,False
20407,True,False,False,False
20408,True,False,False,False
20409,True,False,False,False
20410,True,False,False,False
20411,True,False,False,False
20412,True,False,False,False
20413,True,False,False,False
20414,True,False,False,False
20415,True,False,False,False
20416,True,False,False,False
20417,True,False,False,False
20418,True,False,False,False
20419,True,False,False,False
20420,True,False,False,False
20421,True,False,False,False
20422,True,False,False,False
20423,True,False,False,False
20424,True,False,False,False
20425,True,False,False,False
20426,True,False,False,False
20427,True,False,False,False
20428,True,False,False,False
20429,True,False,False,False
20430,True,False,False,False
20431,True,False,False,False
20432,True,False,False,False
20433,True,False,False,False
20434,True,False,False,False
20435,True,False,False,False
20436,True,False,False,False
20437,True,False,False,False
20438,True,False,False,False
20439,True,False,False,False
20440,True,False,False,False
20441,True,False,False,False
20442,True,False,False,False
20443,True,False,False,False
20444,True,False,False,False
20445,True,False,False,False
20446,True,False,False,False
20447,True,False,False,False
20448,True,False,False,False
20449,True,False,False,False
20450,True,False,False,False
20451,True,False,False,False
20452,True,False,False,False
20453,True,False,False,False
20454,True,False,False,False
20455,True,False,False,False
20456,True,False,False,False
20457,True,False,False,False
20458,True,False,False,False
20459,True,False,False,False
20460,True,False,False,False
20461,True,False,False,False
20462,True,False,False,False
20463,True,False,False,False
20464,True,False,False,False
20465,True,False,False,False
20466,True,False,False,False
20467,True,False,False,False
20468,True,False,False,False
20469,True,False,False,False
20470,True,False,False,False
20471,True,False,False,False
20472,True,False,False,False
20473,True,False,False,False
20474,True,False,False,False
20475,True,False,False,False
20476,True,False,False,False
20477,True,False,False,False
20478,True,False,False,False
20479,True,False,False,False
20480,True,False,False,False
20481,True,False,False,False
20482,True,False,False,False
20483,True,False,False,False
20484,True,False,False,False
20485,True,False,False,False
20486,True,False,False,False
20487,True,False,False,False
20488,True,False,False,False
20489,True,False,False,False
20490,True,False,False,False
20491,True,False,False,False
20492,True,False,False,False
20493,True,False,False,False
20494,True,False,False,False
20495,True,False,False,False
20496,True,False,False,False
20497,True,False,False,False
20498,True,False,False,False
20499,True,False,False,False
20500,True,False,False,False
20501,True,False,False,False
20502,True,False,False,False
20503,True,False,False,False
20504,True,False,False,False
20505,True,False,False,False
20506,True,False,False,False
20507,True,False,False,False
20508,True,False,False,False
20509,True,False,False,False
20510,True,False,False,False
20511,True,False,False,False
20512,True,False,False,False
20513,True,False,False,False
20514,True,False,False,False
20515,True,False,False,False
20516,True,False,False,False
20517,True,False,False,False
20518,True,False,False,False
20519,True,False,False,False
20520,True,False,False,False
20521,True,False,False,False
20522,True,False,False,False
20523,True,False,False,False
20524,True,False,False,False
20525,True,False,False,False
20526,True,False,False,False
20527,True,False,False,False
20528,True,False,False,False
20529,True,False,False,False
20530,True,False,False,False
20531,True,False,False,False
20532,True,False,False,False
20533,True,False,False,False
20534,True,False,False,False
20535,True,False,False,False
20536,True,False,False,False
20537,True,False,False,False
20538,True,False,False,False
20539,True,False,False,False
20540,True,False,False,False
20541,True,False,False,False
20542,True,False,False,False
20543,True,False,False,False
20544,True,False,False,False
20545,True,False,False,False
20546,True,False,False,False
20547,True,False,False,False
20548,True,False,False,False
20549,True,False,False,False
20550,True,False,False,False
20551,True,False,False,False
20552,True,False,False,False
20553,True,False,False,False
20554,True,False,False,False
20555,True,False,False,False
20556,True,False,False,False
20557,True,False,False,False
20558,True,False,False,False
20559,True,False,False,False
20560,True,False,False,False
20561,True,False,False,False
20562,True,False,False,False
20563,True,False,False,False
20564,True,False,False,False
20565,True,False,False,False
20566,True,False,False,False
20567,True,False,False,False
20568,True,False,False,False
20569,True,False,False,False
20570,True,False,False,False
20571,True,False,False,False
20572,True,False,False,False
20573,True,False,False,False
20574,True,False,False,False
20575,True,False,False,False
20576,True,False,False,False
20577,True,False,False,False
20578,True,False,False,False
20579,True,False,False,False
20580,True,False,False,False
20581,True,False,False,False
20582,True,False,False,False
20583,True,False,False,False
20584,True,False,False,False
20585,True,False,False,False
20586,True,False,False,False
20587,True,False,False,False
20588,True,False,False,False
20589,True,False,False,False
20590,True,False,False,False
20591,True,False,False,False
20592,True,False,False,False
20593,True,False,False,False
20594,True,False,False,False
20595,True,False,False,False
20596,True,False,False,False
20597,True,False,False,False
20598,True,False,False,False
20599,True,False,False,False
20600,True,False,False,False
20601,True,False,False,False
20602,True,False,False,False
20603,True,False,False,False
20604,True,False,False,False
20605,True,False,False,False
20606,True,False,False,False
20607,True,False,False,False
20608,True,False,False,False
20609,True,False,False,False
20610,True,False,False,False
20611,True,False,False,False
20612,True,False,False,False
20613,True,False,False,False
20614,True,False,False,False
20615,True,False,False,False
20616,True,False,False,False
20617,True,False,False,False
20618,True,False,False,False
20619,True,False,False,False
20620,True,False,False,False
20621,True,False,False,False
20622,True,False,False,False
20623,True,False,False,False
20624,True,False,False,False
20625,True,False,False,False
20626,True,False,False,False
20627,True,False,False,False
20628,True,False,False,False
20629,True,False,False,False
20630,True,False,False,False
20631,True,False,False,False
20632,True,False,False,False
20633,True,False,False,False
20634,True,False,False,False
20635,True,False,False,False
20636,True,False,False,False
20637,True,False,False,False
20638,True,False,False,False
20639,True,False,False,False
20640,True,False,False,False
20641,True,False,False,False
20642,True,False,False,False
20643,True,False,False,False
20644,True,False,False,False
20645,True,False,False,False
20646,True,False,False,False
20647,True,False,False,False
20648,True,False,False,False
20649,True,False,False,False
20650,True,False,False,False
20651,True,False,False,False
20652,True,False,False,False
20653,True,False,False,False
20654,True,False,False,False
20655,True,False,False,False
20656,True,False,False,False
20657,True,False,False,False
20658,True,False,False,False
20659,True,False,False,False
20660,True,False,False,False
20661,True,False,False,False
20662,True,False,False,False
20663,True,False,False,False
20664,True,False,False,False
20665,True,False,False,False
20666,True,False,False,False
20667,True,False,False,False
20668,True,False,False,False
20669,True,False,False,False
20670,True,False,False,False
20671,True,False,False,False
20672,True,False,False,False
20673,True,False,False,False
20674,True,False,False,False
20675,True,False,False,False
20676,True,False,False,False
20677,True,False,False,False
20678,True,False,False,False
20679,True,False,False,False
20680,True,False,False,False
20681,True,False,False,False
20682,True,False,False,False
20683,True,False,False,False
20684,True,False,False,False
20685,True,False,False,False
20686,True,False,False,False
20687,True,False,False,False
20688,True,False,False,False
20689,True,False,False,False
20690,True,False,False,False
20691,True,False,False,False
20692,True,False,False,False
20693,True,False,False,False
20694,True,False,False,False
20695,True,False,False,False
20696,True,False,False,False
20697,True,False,False,False
20698,True,False,False,False
20699,True,False,False,False
20700,True,False,False,False
20701,True,False,False,False
20702,True,False,False,False
20703,True,False,False,False
20704,True,False,False,False
20705,True,False,False,False
20706,True,False,False,False
20707,True,False,False,False
20708,True,False,False,False
20709,True,False,False,False
20710,True,False,False,False
20711,True,False,False,False
20712,True,False,False,False
20713,True,False,False,False
20714,True,False,False,False
20715,True,False,False,False
20716,True,False,False,False
20717,True,False,False,False
20718,True,False,False,False
20719,True,False,False,False
20720,True,False,False,False
20721,True,False,False,False
20722,True,False,False,False
20723,True,False,False,False
20724,True,False,False,False
20725,True,False,False,False
20726,True,False,False,False
20727,True,False,False,False
20728,True,False,False,False
20729,True,False,False,False
20730,True,False,False,False
20731,True,False,False,False
20732,True,False,False,False
20733,True,False,False,False
20734,True,False,False,False
20735,True,False,False,False
20736,True,False,False,False
20737,True,False,False,False
20738,True,False,False,False
20739,True,False,False,False
20740,True,False,False,False
20741,True,False,False,False
20742,True,False,False,False
20743,True,False,False,False
20744,True,False,False,False
20745,True,False,False,False
20746,True,False,False,False
20747,True,False,False,False
20748,True,False,False,False
20749,True,False,False,False
20750,True,False,False,False
20751,True,False,False,False
20752,True,False,False,False
20753,True,False,False,False
20754,True,False,False,False
20755,True,False,False,False
20756,True,False,False,False
20757,True,False,False,False
20758,True,False,False,False
20759,True,False,False,False
20760,True,False,False,False
20761,True,False,False,False
20762,True,False,False,False
20763,True,False,False,False
20764,True,False,False,False
20765,True,False,False,False
20766,True,False,False,False
20767,True,False,False,False
20768,True,False,False,False
20769,True,False,False,False
20770,True,False,False,False
20771,True,False,False,False
20772,True,False,False,False
20773,True,False,False,False
20774,True,False,False,False
20775,True,False,False,False
20776,True,False,False,False
20777,True,False,False,False
20778,True,False,False,False
20779,True,False,False,False
20780,True,False,False,False
20781,True,False,False,False
20782,True,False,False,False
20783,True,False,False,False
20784,True,False,False,False
20785,True,False,False,False
20786,True,False,False,False
20787,True,False,False,False
20788,True,False,False,False
20789,True,False,False,False
20790,True,False,False,False
20791,True,False,False,False
20792,True,False,False,False
20793,True,False,False,False
20794,True,False,False,False
20795,True,False,False,False
20796,True,False,False,False
20797,True,False,False,False
20798,True,False,False,False
20799,True,False,False,False
20800,True,False,False,False
20801,True,False,False,False
20802,True,False,False,False
20803,True,False,False,False
20804,True,False,False,False
20805,True,False,False,False
20806,True,False,False,False
20807,True,False,False,False
20808,True,False,False,False
20809,True,False,False,False
20810,True,False,False,False
20811,True,False,False,False
20812,True,False,False,False
